source,Variation,location,description,attributes_associated_gene,gene_id,transcript_id,protein_id,mapped_to_accession,attributes_p_value,var_class,most_severe_consequence,consequence_terms,assembly_name,MAF,protein_start,protein_end,amino_acids,evidence,clinical_significance,pmid,pop.gnomad_East_Asian,pop.gnomad_African,pop.gnomad,pop.gnomad_Latino,pop.gnomad_Ashkenazi_Jewish,pop.gnomad_Finnish,pop.gnomad_European_Non_Finnish,pop.gnomad_Other,pop.gnomad_South_Asian,protein_length
ClinVar,rs193922616,12:2691089-2691089,Cardiac arrhythmia,"CACNA1C-AS1,CACNA1C",NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,ExAC,gnomAD",likely pathogenic,NA,0,0,8.32E-06,0,0,0,0,0,6.58E-05,NA
ClinVar,rs200305092,17:8288815-8288815,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,synonymous_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,0.0001669,2.98E-05,0.0001018,8.97E-05,0.0002157,0.0007307,0.0002925,NA
ClinVar,rs28377576,4:113355724-113355724,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.181,0.09432,0.06243,0.1216,0.1059,0.1166,0.1221,0.03626,NA
ClinVar,rs28377576,4:113355724-113355724,Cardiac arrhythmia,ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0.0004066,0.181,0.09432,0.06243,0.1216,0.1059,0.1166,0.1221,0.03626,NA
ClinVar,rs35530544,4:113367751-113367751,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.01,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",pathogenic,NA,0,0.03457,0.002382,0.001102,0,0,7.18E-05,0.001459,0.00013,NA
ClinVar,rs35530544,4:113367751-113367751,Cardiac arrhythmia,ANK2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.01,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.03457,0.002382,0.001102,0,0,7.18E-05,0.001459,0.00013,NA
ClinVar,rs36210421,7:150947340-150947340,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,0.009,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.003943,0.01622,0.004356,0.004164,0.07343,0.02284,0.01294,0.003108,NA
ClinVar,rs369372561,17:8288870-8288870,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,splice_region_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,6.56E-05,0.0002602,2.98E-05,0,0,0.0005379,0.000365,0,NA
ClinVar,rs3733615,4:113355728-113355728,"Cardiac arrhythmia, ankyrin B-related",ANK2,NA,NA,NA,HP:0011675,NA,SNP,synonymous_variant,regulatory_region_variant,GRCh38,0.2849,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.1208,0.573,0.1816,0.1714,0.2045,0.1259,0.1576,0.2051,0.1477,NA
ClinVar,rs3809740,17:8288959-8288959,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,synonymous_variant,regulatory_region_variant,GRCh38,0.0034,NA,NA,NA,"Frequency,HapMap,1000Genomes,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.01461,0.0001969,0.004546,0.0001191,0.004573,0.02615,0.00122,0.004015,0.002372,NA
ClinVar,rs55792866,12:2120310-2120310,Cardiac arrhythmia,CACNA1C,NA,NA,NA,HP:0011675,NA,SNP,intron_variant,regulatory_region_variant,GRCh38,0.0254,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,5.80E-05,0.04609,0.02351,0.01154,0.02215,0.01207,0.02658,0.0188,0.03702,NA
ClinVar,rs569872275,17:8289038-8289038,Cardiac arrhythmia,"RANGRF,SLC25A35",NA,NA,NA,HP:0011675,NA,SNP,synonymous_variant,regulatory_region_variant,GRCh38,4.00E-04,NA,NA,NA,"Frequency,1000Genomes,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0,3.67E-05,0,0,0,0,0,0.0002924,NA
ClinVar,rs754605400,7:150977925-150977933,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,splice_acceptor_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,8.72E-05,5.94E-05,3.11E-05,0,0,0.0001121,0,0,NA
ClinVar,rs794728346,7:150947401-150947401,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,SNP,missense_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,gnomAD",likely benign,NA,0,0.0001497,6.95E-06,0,0,0,0,0,0,NA
ClinVar,rs794728421,7:150958407-150958406,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,inframe_insertion,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,TOPMed",uncertain significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728425,7:150958221-150958220,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728426,7:150958163-150958166,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,indel,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728428,7:150958116-150958122,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728456,7:150947794-150947794,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728457,7:150947782-150947788,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728463,7:150947654-150947653,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728464,7:150947513-150947512,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728465,7:150947401-150947400,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728467,7:150947381-150947380,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728469,7:150947373-150947372,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,TOPMed",pathogenic,NA,0,0.0001564,7.18E-06,0,0,0,0,0,0,NA
ClinVar,rs794728470,7:150947368-150947367,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,gnomAD",pathogenic,NA,0.0001979,0,1.43E-05,0,0,0,0,0,0,NA
ClinVar,rs794728472,7:150947344-150947344,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728476,7:150974766-150974765,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,insertion,inframe_insertion,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728506,7:150974918-150974918,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728507,7:150974912-150974912,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728508,7:150974864-150974864,Cardiac arrhythmia,KCNH2,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs794728563,11:2445263-2445285,Cardiac arrhythmia,KCNQ1,NA,NA,NA,HP:0011675,NA,deletion,frameshift_variant,regulatory_region_variant,GRCh38,NA,NA,NA,NA,Phenotype_or_Disease,pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs10013743,4:113358266-113358266,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,synonymous_variant,synonymous_variant,GRCh38,0.0921,3183,3183,E/E,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.1811,0.09441,0.06246,0.1221,0.1059,0.1167,0.1222,0.03627,3924
ClinVar,rs10013743,4:113358266-113358266,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000394537,ENSP00000378044,HP:0011675,NA,SNP,synonymous_variant,intron_variant,GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.1811,0.09441,0.06246,0.1221,0.1059,0.1167,0.1222,0.03627,1872
ClinVar,rs10013743,4:113358266-113358266,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000503423,ENSP00000421011,HP:0011675,NA,SNP,synonymous_variant,downstream_gene_variant,GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.1811,0.09441,0.06246,0.1221,0.1059,0.1167,0.1222,0.03627,1611
ClinVar,rs10013743,4:113358266-113358266,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000508007,NA,HP:0011675,NA,SNP,synonymous_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.1811,0.09441,0.06246,0.1221,0.1059,0.1167,0.1222,0.03627,NA
ClinVar,rs10013743,4:113358266-113358266,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000612754,ENSP00000482888,HP:0011675,NA,SNP,synonymous_variant,3_prime_UTR_variant,GRCh38,0.0921,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0004066,0.1811,0.09441,0.06246,0.1221,0.1059,0.1167,0.1222,0.03627,180
ClinVar,rs1057518771,9:134732127-134732127,Arrhythmia,COL5A1,ENSG00000130635,ENST00000371817,ENSP00000360882,HP:0011675,NA,SNP,splice_region_variant,"splice_region_variant,synonymous_variant",GRCh38,NA,463,463,P/P,"Frequency,Phenotype_or_Disease,gnomAD",uncertain significance,NA,0,6.53E-05,1.22E-05,2.98E-05,0,0,8.95E-06,0,0,1838
ClinVar,rs1057518771,9:134732127-134732127,Arrhythmia,COL5A1,ENSG00000130635,ENST00000469093,NA,HP:0011675,NA,SNP,splice_region_variant,non_coding_transcript_exon_variant,GRCh38,NA,NA,NA,NA,"Frequency,Phenotype_or_Disease,gnomAD",uncertain significance,NA,0,6.53E-05,1.22E-05,2.98E-05,0,0,8.95E-06,0,0,NA
ClinVar,rs1057518876,7:150952588-150952588,Arrhythmia,KCNH2,ENSG00000055118,ENST00000262186,ENSP00000262186,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,465,465,V/A,"Cited,Phenotype_or_Disease",uncertain significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159
ClinVar,rs1057518876,7:150952588-150952588,Arrhythmia,KCNH2,ENSG00000055118,ENST00000461280,NA,HP:0011675,NA,SNP,missense_variant,non_coding_transcript_exon_variant,GRCh38,NA,NA,NA,NA,"Cited,Phenotype_or_Disease",uncertain significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs1057518877,14:23429262-23429262,Arrhythmia,MYH7,ENSG00000092054,ENST00000355349,ENSP00000347507,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,408,408,N/K,"Cited,Phenotype_or_Disease",uncertain significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935
ClinVar,rs1057518902,11:2588810-2588810,Arrhythmia,KCNQ1,ENSG00000053918,ENST00000155840,ENSP00000155840,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,450,450,E/G,"Cited,Phenotype_or_Disease",uncertain significance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676
ClinVar,rs1057518920,6:7575386-7575386,Arrhythmia,DSP,ENSG00000096696,ENST00000379802,ENSP00000369129,HP:0011675,NA,SNP,stop_gained,stop_gained,GRCh38,NA,843,843,S/*,"Cited,Phenotype_or_Disease",pathogenic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2871
ClinVar,rs1057518968,18:34794065-34794065,Arrhythmia,DTNA,ENSG00000134769,ENST00000283365,ENSP00000283365,HP:0011675,NA,SNP,missense_variant,missense_variant,GRCh38,NA,59,59,I/M,"Frequency,Cited,Phenotype_or_Disease,TOPMed,gnomAD",likely pathogenic,NA,0,0,8.14E-06,0,0,4.49E-05,8.98E-06,0,0,686
ClinVar,rs1057518968,18:34794065-34794065,Arrhythmia,DTNA,ENSG00000134769,ENST00000585446,NA,HP:0011675,NA,SNP,missense_variant,non_coding_transcript_exon_variant,GRCh38,NA,NA,NA,NA,"Frequency,Cited,Phenotype_or_Disease,TOPMed,gnomAD",likely pathogenic,NA,0,0,8.14E-06,0,0,4.49E-05,8.98E-06,0,0,NA
ClinVar,rs11024034,11:2768933-2768933,Cardiac arrhythmia,KCNQ1,ENSG00000053918,ENST00000155840,ENSP00000155840,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.0461,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0006381,0.01834,0.08661,0.04559,0.1206,0.1117,0.1165,0.09755,0.07431,676
ClinVar,rs11024034,11:2768933-2768933,Cardiac arrhythmia,KCNQ1,ENSG00000236041,ENST00000448769,NA,HP:0011675,NA,SNP,intron_variant,upstream_gene_variant,GRCh38,0.0461,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0.0006381,0.01834,0.08661,0.04559,0.1206,0.1117,0.1165,0.09755,0.07431,NA
ClinVar,rs113408406,1:237770906-237770906,Cardiac arrhythmia,RYR2,ENSG00000198626,ENST00000360064,ENSP00000353174,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.0062,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,0.004325,0.01771,0.006483,0.002657,0.04298,0.02845,0.01549,0.001734,4950
ClinVar,rs113408406,1:237770906-237770906,Cardiac arrhythmia,RYR2,ENSG00000198626,ENST00000609119,NA,HP:0011675,NA,SNP,intron_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.0062,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",uncertain significance,NA,0,0.004325,0.01771,0.006483,0.002657,0.04298,0.02845,0.01549,0.001734,NA
ClinVar,rs114036394,12:2685857-2685857,Cardiac arrhythmia,"CACNA1C-AS1,CACNA1C",ENSG00000151067,ENST00000327702,ENSP00000329877,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.016,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.05776,0.003958,0.001968,0,0,0.0001352,0.0011,0.0001628,2173
ClinVar,rs114036394,12:2685857-2685857,Cardiac arrhythmia,"CACNA1C-AS1,CACNA1C",ENSG00000246627,ENST00000501371,NA,HP:0011675,NA,SNP,intron_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.016,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.05776,0.003958,0.001968,0,0,0.0001352,0.0011,0.0001628,NA
ClinVar,rs114036394,12:2685857-2685857,Cardiac arrhythmia,"CACNA1C-AS1,CACNA1C",ENSG00000246627,ENST00000541673,NA,HP:0011675,NA,SNP,intron_variant,downstream_gene_variant,GRCh38,0.016,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",benign,NA,0,0.05776,0.003958,0.001968,0,0,0.0001352,0.0011,0.0001628,NA
ClinVar,rs116772523,17:41757797-41757797,Cardiac arrhythmia,JUP,ENSG00000173801,ENST00000310706,ENSP00000311113,HP:0011675,NA,SNP,intron_variant,intron_variant,GRCh38,0.0254,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed",benign,NA,0,0.07424,0.005327,0.003447,0,0,5.88E-05,0.003127,0,745
ClinVar,rs116772523,17:41757797-41757797,Cardiac arrhythmia,JUP,ENSG00000173801,ENST00000585793,NA,HP:0011675,NA,SNP,intron_variant,downstream_gene_variant,GRCh38,0.0254,NA,NA,NA,"Frequency,1000Genomes,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed",benign,NA,0,0.07424,0.005327,0.003447,0,0,5.88E-05,0.003127,0,NA
NHGRI-EBI GWAS catalog,rs11856574,15:29439240-29439240,Life threatening arrhythmia,KIAA0574,ENSG00000104059,ENST00000261275,ENSP00000261275,EFO:0004269,5.00E-06,SNP,intron_variant,intron_variant,GRCh38,0.2143,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,Phenotype_or_Disease,TOPMed,gnomAD",NA,PMID:22247754,NA,NA,NA,NA,NA,NA,NA,NA,NA,539
NHGRI-EBI GWAS catalog,rs11856574,15:29439240-29439240,Life threatening arrhythmia,KIAA0574,ENSG00000104059,ENST00000560050,NA,EFO:0004269,5.00E-06,SNP,intron_variant,"intron_variant,non_coding_transcript_variant",GRCh38,0.2143,NA,NA,NA,"Frequency,HapMap,1000Genomes,Cited,Phenotype_or_Disease,TOPMed,gnomAD",NA,PMID:22247754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ClinVar,rs121912705,4:113367764-113367764,Cardiac arrhythmia,ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,stop_gained,missense_variant,GRCh38,NA,3711,3711,T/N,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",likely benign,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,3924
ClinVar,rs121912705,4:113367764-113367764,Arrhythmia,ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,stop_gained,missense_variant,GRCh38,NA,3711,3711,T/N,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",not provided,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,3924
ClinVar,rs121912705,4:113367764-113367764,"Cardiac arrhythmia, ankyrin B-related",ANK2,ENSG00000145362,ENST00000264366,ENSP00000264366,HP:0011675,NA,SNP,stop_gained,missense_variant,GRCh38,NA,3711,3711,T/N,"Frequency,Cited,ESP,Phenotype_or_Disease,ExAC,TOPMed,gnomAD",pathogenic,NA,0,0.0003921,0.0006099,5.96E-05,0,8.97E-05,0.001256,0,0,3924
